Algorithm,Data Rate (Gbps),Duration (s),Packet Loss Rate (%),Throughput (Gbps),Avg Hop Count
Proposed,1.0,10,1.2500,0.936884,15.5
Proposed,1.0,20,1.2500,0.936884,15.5
Proposed,1.0,30,1.2500,0.936884,15.5
Proposed,1.0,40,1.3016,0.936395,15.5
Proposed,1.0,50,2.0262,0.929524,15.5
Proposed,1.0,60,3.6644,0.913984,15.5
Proposed,1.0,70,5.3951,0.897563,15.5
Proposed,1.0,80,6.9297,0.883003,15.5
Proposed,1.0,90,8.2855,0.870139,15.5
Proposed,1.0,100,9.4896,0.858715,15.5
Proposed,1.2,10,1.2500,1.099838,15.5
Proposed,1.2,20,1.2500,1.099838,15.5
Proposed,1.2,30,1.2610,1.099716,15.5
Proposed,1.2,40,1.6779,1.095076,15.5
Proposed,1.2,50,3.4323,1.075542,15.5
Proposed,1.2,60,5.4288,1.053305,15.5
Proposed,1.2,70,7.1873,1.033718,15.5
Proposed,1.2,80,8.7254,1.016586,15.5
Proposed,1.2,90,10.0812,1.001484,15.5
Proposed,1.2,100,11.2853,0.988072,15.5
Proposed,1.4,10,1.2500,1.251342,15.5
Proposed,1.4,20,1.2500,1.251342,15.5
Proposed,1.4,30,1.3260,1.250381,15.5
Proposed,1.4,40,2.7416,1.232454,15.5
Proposed,1.4,50,5.0078,1.203739,15.5
Proposed,1.4,60,7.0374,1.178017,15.5
Proposed,1.4,70,8.7975,1.155710,15.5
Proposed,1.4,80,10.3357,1.136217,15.5
Proposed,1.4,90,11.6914,1.119035,15.5
Proposed,1.4,100,12.8955,1.103775,15.5
Proposed,1.6,10,1.2500,1.390795,15.5
Proposed,1.6,20,1.2500,1.390795,15.5
Proposed,1.6,30,1.7474,1.383801,15.5
Proposed,1.6,40,4.0895,1.350824,15.5
Proposed,1.6,50,6.4552,1.317502,15.5
Proposed,1.6,60,8.4895,1.288848,15.5
Proposed,1.6,70,10.2496,1.264054,15.5
Proposed,1.6,80,11.7877,1.242388,15.5
Proposed,1.6,90,13.1435,1.223291,15.5
Proposed,1.6,100,14.3476,1.206329,15.5
Proposed,1.8,10,1.2500,1.517974,15.5
Proposed,1.8,20,1.2683,1.517693,15.5
Proposed,1.8,30,2.6656,1.496237,15.5
Proposed,1.8,40,5.3930,1.454313,15.5
Proposed,1.8,50,7.7713,1.417748,15.5
Proposed,1.8,60,9.8056,1.386472,15.5
Proposed,1.8,70,11.5657,1.359411,15.5
Proposed,1.8,80,13.1039,1.335763,15.5
Proposed,1.8,90,14.4596,1.314918,15.5
Proposed,1.8,100,15.6637,1.296405,15.5
Proposed,2.0,10,1.2500,1.632985,15.5
Proposed,2.0,20,1.3652,1.631085,15.5
Proposed,2.0,30,3.7835,1.591122,15.5
Proposed,2.0,40,6.5914,1.544683,15.5
Proposed,2.0,50,8.9698,1.505347,15.5
Proposed,2.0,60,11.0040,1.471701,15.5
Proposed,2.0,70,12.7642,1.442588,15.5
Proposed,2.0,80,14.3023,1.417147,15.5
Proposed,2.0,90,15.6580,1.394723,15.5
Proposed,2.0,100,16.8693,1.374690,15.5
Proposed,2.2,10,1.2500,1.736203,15.5
Proposed,2.2,20,1.7804,1.726902,15.5
Proposed,2.2,30,4.8686,1.672617,15.5
Proposed,2.2,40,7.6872,1.623052,15.5
Proposed,2.2,50,10.0656,1.581228,15.5
Proposed,2.2,60,12.0999,1.545455,15.5
Proposed,2.2,70,13.8600,1.514501,15.5
Proposed,2.2,80,15.3981,1.487451,15.5
Proposed,2.2,90,16.7646,1.463423,15.5
Proposed,2.2,100,17.9792,1.442066,15.5
Proposed,2.4,10,1.2500,1.828204,15.5
Proposed,2.4,20,2.5323,1.804505,15.5
Proposed,2.4,30,5.8745,1.742627,15.5
Proposed,2.4,40,8.6931,1.690435,15.5
Proposed,2.4,50,11.0715,1.646393,15.5
Proposed,2.4,60,13.1057,1.608723,15.5
Proposed,2.4,70,14.8671,1.576106,15.5
