Algorithm,Data Rate (Gbps),Duration (s),Packet Loss Rate (%),Throughput (Gbps),Avg Hop Count
Proposed,1.0,10,0.0000,0.949886,14.4
Proposed,1.0,20,0.0000,0.949886,14.4
Proposed,1.0,30,0.0000,0.949886,14.4
Proposed,1.0,40,0.0421,0.949486,14.4
Proposed,1.0,50,0.7421,0.942840,14.4
Proposed,1.0,60,2.4051,0.927045,14.4
Proposed,1.0,70,4.1178,0.910776,14.4
Proposed,1.0,80,5.6677,0.896053,14.4
Proposed,1.0,90,7.0401,0.883016,14.4
Proposed,1.0,100,8.2588,0.871439,14.4
Proposed,1.2,10,0.0000,1.115633,14.4
Proposed,1.2,20,0.0000,1.115633,14.4
Proposed,1.2,30,0.0005,1.115627,14.4
Proposed,1.2,40,0.4075,1.111090,14.4
Proposed,1.2,50,2.1649,1.091489,14.4
Proposed,1.2,60,4.1437,1.069411,14.4
Proposed,1.2,70,5.9208,1.049584,14.4
Proposed,1.2,80,7.4781,1.032209,14.4
Proposed,1.2,90,8.8505,1.016897,14.4
Proposed,1.2,100,10.0693,1.003299,14.4
Proposed,1.4,10,0.0000,1.269981,14.4
Proposed,1.4,20,0.0000,1.269981,14.4
Proposed,1.4,30,0.0741,1.269040,14.4
Proposed,1.4,40,1.4606,1.251443,14.4
Proposed,1.4,50,3.7108,1.222866,14.4
Proposed,1.4,60,5.7633,1.196797,14.4
Proposed,1.4,70,7.5457,1.174159,14.4
Proposed,1.4,80,9.1030,1.154380,14.4
Proposed,1.4,90,10.4754,1.136949,14.4
Proposed,1.4,100,11.6941,1.121470,14.4
Proposed,1.6,10,0.0000,1.412304,14.4
Proposed,1.6,20,0.0000,1.412304,14.4
Proposed,1.6,30,0.4620,1.405786,14.4
Proposed,1.6,40,2.7876,1.372951,14.4
Proposed,1.6,50,5.1692,1.339312,14.4
Proposed,1.6,60,7.2297,1.310209,14.4
Proposed,1.6,70,9.0121,1.285033,14.4
Proposed,1.6,80,10.5694,1.263037,14.4
Proposed,1.6,90,11.9418,1.243652,14.4
Proposed,1.6,100,13.1605,1.226438,14.4
Proposed,1.8,10,0.0000,1.542350,14.4
Proposed,1.8,20,0.0065,1.542250,14.4
Proposed,1.8,30,1.3700,1.521239,14.4
Proposed,1.8,40,4.0895,1.479295,14.4
Proposed,1.8,50,6.4992,1.442124,14.4
Proposed,1.8,60,8.5598,1.410339,14.4
Proposed,1.8,70,10.3422,1.382845,14.4
Proposed,1.8,80,11.8994,1.358823,14.4
Proposed,1.8,90,13.2718,1.337652,14.4
Proposed,1.8,100,14.4906,1.318852,14.4
Proposed,2.0,10,0.0000,1.660194,14.4
Proposed,2.0,20,0.1023,1.658499,14.4
Proposed,2.0,30,2.4688,1.619234,14.4
Proposed,2.0,40,5.3014,1.572202,14.4
Proposed,2.0,50,7.7111,1.532190,14.4
Proposed,2.0,60,9.7716,1.497977,14.4
Proposed,2.0,70,11.5540,1.468381,14.4
Proposed,2.0,80,13.1113,1.442523,14.4
Proposed,2.0,90,14.4837,1.419734,14.4
Proposed,2.0,100,15.7029,1.399489,14.4
Proposed,2.2,10,0.0000,1.766180,14.4
